id,name
408,"КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА"
410,"КОРЕЯ, РЕСПУБЛИКА"
414,КУВЕЙТ
417,КИРГИЗИЯ
418,"ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА"
422,ЛИВАН
428,ЛАТВИЯ
430,ЛИБЕРИЯ
434,ЛИВИЯ
440,ЛИТВА
442,ЛЮКСЕМБУРГ
450,МАДАГАСКАР
458,МАЛАЙЗИЯ
466,МАЛИ
470,МАЛЬТА
478,МАВРИТАНИЯ
480,МАВРИКИЙ
484,МЕКСИКА
492,МОНАКО
496,МОНГОЛИЯ
498,"МОЛДОВА, РЕСПУБЛИКА"
499,ЧЕРНОГОРИЯ
504,МАРОККО
508,МОЗАМБИК
512,ОМАН
524,НЕПАЛ
528,НИДЕРЛАНДЫ
533,АРУБА
554,"НОВАЯ ЗЕЛАНДИЯ"
558,НИКАРАГУА
562,НИГЕР
566,НИГЕРИЯ
578,НОРВЕГИЯ
580,"СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА"
583,"МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ"
586,ПАКИСТАН
591,ПАНАМА
600,ПАРАГВАЙ
604,ПЕРУ
608,ФИЛИППИНЫ
616,ПОЛЬША
620,ПОРТУГАЛИЯ
624,ГВИНЕЯ-БИСАУ
630,ПУЭРТО-РИКО
634,КАТАР
638,РЕЮНЬОН
642,РУМЫНИЯ
643,РОССИЯ
646,РУАНДА
659,"СЕНТ-КИТС И НЕВИС"
660,АНГИЛЬЯ
682,"САУДОВСКАЯ АРАВИЯ"
686,СЕНЕГАЛ
688,СЕРБИЯ
694,СЬЕРРА-ЛЕОНЕ
702,СИНГАПУР
703,СЛОВАКИЯ
704,ВЬЕТНАМ
705,СЛОВЕНИЯ
706,СОМАЛИ
710,"ЮЖНАЯ АФРИКА"
716,ЗИМБАБВЕ
724,ИСПАНИЯ
729,СУДАН
736,СУДАН
740,СУРИНАМ
748,ЭСВАТИНИ
752,ШВЕЦИЯ
756,ШВЕЙЦАРИЯ
760,"СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА"
762,ТАДЖИКИСТАН
764,ТАИЛАНД
768,ТОГО
772,ТОКЕЛАУ
776,ТОНГА
780,"ТРИНИДАД И ТОБАГО"
784,"ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ"
788,ТУНИС
792,ТУРЦИЯ
795,ТУРКМЕНИСТАН
796,"ОСТРОВА ТЕРКС И КАЙКОС"
800,УГАНДА
804,УКРАИНА
807,"РЕСПУБЛИКА МАКЕДОНИЯ"
818,ЕГИПЕТ
826,"СОЕДИНЕННОЕ КОРОЛЕВСТВО"
832,ДЖЕРСИ
833,"ОСТРОВ МЭН"
834,"ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА"
840,"СОЕДИНЕННЫЕ ШТАТЫ"
850,"ВИРГИНСКИЕ ОСТРОВА (США)"
858,УРУГВАЙ
860,УЗБЕКИСТАН
862,"ВЕНЕСУЭЛА (БОЛИВАРИАНСКАЯ РЕСПУБЛИКА)"
876,"УОЛЛИС И ФУТУНА"
882,САМОА
887,ЙЕМЕН
891,"СЕРБИЯ И ЧЕРНОГОРИЯ"
894,ЗАМБИЯ
895,АБХАЗИЯ
896,"ЮЖНАЯ ОСЕТИЯ"
901,"ОСТРОВ ДЖЕРСИ"
997,"РЕСПУБЛИКА АБХАЗИЯ"
998,"РЕСПУБЛИКА ЮЖНАЯ ОСЕТИЯ"
999,"ДЛЯ ЛИЦ БЕЗ ГРАЖДАНСТВА"
